# Mean Anomaly (rad)    Radial Velocity (km/s)
# omega = 2.0 rad
0.000000    -0.041831
0.020040    -0.039951
0.040080    -0.037643
0.060120    -0.035016
0.080160    -0.032191
0.100200    -0.029284
0.120240    -0.026391
0.140281    -0.023587
0.160321    -0.020921
0.180361    -0.018423
0.200401    -0.016107
0.220441    -0.013975
0.240481    -0.012021
0.260521    -0.010237
0.280561    -0.008611
0.300601    -0.007129
0.320641    -0.005779
0.340681    -0.004548
0.360721    -0.003425
0.380762    -0.002399
0.400802    -0.001461
0.420842    -0.000601
0.440882    0.000189
0.460922    0.000914
0.480962    0.001582
0.501002    0.002198
0.521042    0.002766
0.541082    0.003292
0.561122    0.003779
0.581162    0.004231
0.601202    0.004650
0.621242    0.005040
0.641283    0.005403
0.661323    0.005741
0.681363    0.006057
0.701403    0.006351
0.721443    0.006627
0.741483    0.006884
0.761523    0.007125
0.781563    0.007350
0.801603    0.007562
0.821643    0.007760
0.841683    0.007946
0.861723    0.008121
0.881764    0.008285
0.901804    0.008439
0.921844    0.008583
0.941884    0.008719
0.961924    0.008847
0.981964    0.008967
1.002004    0.009080
1.022044    0.009185
1.042084    0.009285
1.062124    0.009378
1.082164    0.009466
1.102204    0.009548
1.122244    0.009626
1.142285    0.009698
1.162325    0.009766
1.182365    0.009829
1.202405    0.009888
1.222445    0.009944
1.242485    0.009995
1.262525    0.010043
1.282565    0.010088
1.302605    0.010129
1.322645    0.010168
1.342685    0.010203
1.362725    0.010235
1.382766    0.010265
1.402806    0.010292
1.422846    0.010317
1.442886    0.010339
1.462926    0.010359
1.482966    0.010377
1.503006    0.010393
1.523046    0.010407
1.543086    0.010418
1.563126    0.010428
1.583166    0.010436
1.603206    0.010442
1.623246    0.010447
1.643287    0.010450
1.663327    0.010451
1.683367    0.010451
1.703407    0.010450
1.723447    0.010447
1.743487    0.010442
1.763527    0.010437
1.783567    0.010429
1.803607    0.010421
1.823647    0.010412
1.843687    0.010401
1.863727    0.010389
1.883768    0.010376
1.903808    0.010362
1.923848    0.010347
1.943888    0.010330
1.963928    0.010313
1.983968    0.010295
2.004008    0.010276
2.024048    0.010256
2.044088    0.010234
2.064128    0.010212
2.084168    0.010190
2.104208    0.010166
2.124248    0.010141
2.144289    0.010116
2.164329    0.010089
2.184369    0.010062
2.204409    0.010034
2.224449    0.010006
2.244489    0.009976
2.264529    0.009946
2.284569    0.009915
2.304609    0.009883
2.324649    0.009851
2.344689    0.009818
2.364729    0.009784
2.384770    0.009749
2.404810    0.009714
